L2,Jaccard,Hausdorff,Elements,Vertices,SizeMin,SizeMax,MeshTime,SolveTime
0.04031472516014835,0.6962122070447316,0.2061895614306347,188,113,0.3894558789948679,0.6431404325802621,0.03334300699998494,0.11045683099996495
0.007427244624249052,0.8097262603085723,0.19122750206062042,752,413,0.12622111336636635,0.4037988996734307,0.16790041699982794,0.38482481899995946
0.0033348741428876625,0.9317618389983912,0.1154723621245738,1172,623,0.07393505612357697,0.4075482549572754,0.09687313199992786,0.3188676019999548
0.0008802576605698134,0.9570523332235967,0.07533614932382261,4688,2417,0.033757926704831465,0.2047510712869183,0.15696445100002165,0.39871563299993795
0.0011639746745315035,0.9773967802832463,0.036882471077765544,6296,3221,0.0196978030153163,0.2047511131069385,0.4918583569999555,0.6977296269999442
0.00029127470325318377,0.9897850074807756,0.017174380920968114,25184,12737,0.010064365429937468,0.10313503603095094,0.812315591000015,1.9764212869999938
0.00032161160829603016,0.9948887758523106,0.009697786133157022,31384,15837,0.0049902995812793356,0.10313503608012264,2.5837957179999194,3.5382540200000676
